id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
47,1505.67,1451.96,0.43,-0.28,-0.34,25,0.00,5473.29,56.55,-4.38
48,843.27,1462.03,0.61,-0.61,-0.40,25,0.00,170.93,1.06,-0.06
49,2027.51,1556.84,0.47,-0.42,-0.52,25,0.00,365.35,2.97,-1.18
50,572.40,1651.87,0.97,0.19,-0.36,25,0.00,167.74,1.18,-0.18
51,1046.73,1722.80,0.32,-0.33,-0.33,25,0.00,214.45,1.65,-0.54
52,2199.29,1915.15,0.38,-0.69,-0.50,25,0.00,282.48,2.35,-0.93
53,1285.23,1978.09,0.45,-0.47,-0.39,25,0.00,242.83,1.67,-0.56
54,1942.95,1991.35,0.43,-0.27,-0.03,25,0.00,178.44,1.24,-0.24
55,1755.93,2075.07,0.71,0.45,0.58,25,0.00,272.06,3.02,-1.20
56,2041.71,2120.81,0.54,-0.55,-0.60,25,0.00,197.93,1.46,-0.41
57,1859.45,2163.23,0.41,-0.40,-0.61,25,0.00,531.92,4.83,-1.71
58,708.28,2171.16,0.41,-0.14,-0.65,25,0.00,748.19,6.55,-2.04
59,427.45,2180.08,0.43,-0.57,-0.78,25,0.00,647.33,4.68,-1.67
60,2125.92,2217.05,0.39,-0.17,-0.44,25,0.00,206.12,1.55,-0.48
61,2278.96,2216.93,0.31,-0.67,-0.73,25,0.00,369.61,3.37,-1.32
62,1649.97,2229.58,0.37,-0.28,-0.53,25,0.00,170.10,1.23,-0.22
63,3016.47,2228.96,0.37,-0.69,-0.95,25,0.00,880.10,8.18,-2.28
64,2619.72,2261.86,0.45,-0.60,-0.78,25,0.00,57575.48,580.76,-6.91
65,633.64,2366.54,0.48,-0.46,-0.59,25,0.00,1938.48,16.60,-3.05
66,3015.84,2517.70,0.45,-0.64,-0.83,25,0.00,1343.15,13.14,-2.80
67,246.38,2531.98,0.47,-0.12,-0.60,25,0.00,331.21,2.46,-0.98
68,245.54,2532.12,0.39,-0.32,-0.52,25,0.00,341.14,2.51,-1.00
69,293.30,2579.48,0.51,-0.35,-0.72,25,0.00,479.33,3.45,-1.35
70,1670.66,2585.19,0.56,-0.60,-0.58,25,0.00,202.83,1.35,-0.33
71,2769.53,2591.42,0.42,-0.61,-0.70,25,0.00,431.82,3.71,-1.42
72,1729.42,2659.53,0.29,-0.64,0.82,25,0.00,84.21,1.06,-0.06
73,2750.81,2685.10,0.29,-0.46,-0.52,25,0.00,95.51,1.04,-0.04
74,2886.07,2709.46,0.40,-0.48,-0.64,25,0.00,884.51,8.26,-2.29
75,595.23,2791.50,0.72,-0.23,-0.49,25,0.00,241.47,1.34,-0.32
76,708.00,2826.40,0.78,0.40,0.73,25,0.00,3016.40,41.41,-4.04
77,708.00,2830.75,0.48,0.42,0.71,25,0.00,3652.55,77.48,-4.72
78,708.00,2835.37,0.77,0.15,0.09,25,0.00,2567.39,37.98,-3.95
79,707.99,2855.27,0.66,-0.32,-0.67,25,0.00,1541.94,28.59,-3.64
80,708.00,2859.36,0.84,0.31,0.39,25,0.00,8990.77,120.89,-5.21
81,723.99,2873.65,0.99,0.08,0.14,25,0.00,692.39,7.00,-2.11
82,708.00,2887.87,0.42,0.50,0.72,25,0.00,3821.62,90.41,-4.89
83,708.00,2901.94,0.52,-0.47,-0.74,25,0.00,2530.90,60.57,-4.46
84,1311.47,2908.56,0.44,-0.73,-0.57,25,0.00,173.14,1.20,-0.20
85,234.12,2910.75,0.26,0.60,0.69,25,0.00,96.44,1.19,-0.19
86,1410.28,2924.78,0.43,-0.73,-0.80,25,0.00,1016.27,9.41,-2.43
87,708.00,2929.21,0.73,0.14,0.12,25,0.00,2769.29,42.92,-4.08
88,708.00,2933.79,0.71,0.46,0.79,25,0.00,6015.52,90.41,-4.89
89,1908.55,2940.37,0.45,0.21,0.10,25,0.00,315.36,5.03,-1.75
90,760.89,2940.48,0.41,-0.44,-0.62,25,0.00,8189.51,76.62,-4.71
91,1139.79,2949.18,0.51,-0.43,-0.71,25,0.00,195.29,1.22,-0.22
92,708.00,2972.72,0.68,0.26,0.30,25,0.00,7573.34,125.16,-5.24
93,708.00,2985.30,0.66,-0.06,-0.09,25,0.00,4015.00,70.36,-4.62
94,708.00,3000.64,0.84,0.28,0.58,25,0.00,6222.31,82.46,-4.79
95,1500.25,3012.28,0.33,-1.00,-0.71,25,0.00,170.27,1.31,-0.29
96,804.90,3015.09,0.91,0.43,0.18,25,0.00,286.37,2.70,-1.08
97,708.00,3015.39,0.61,-0.04,-0.01,25,0.00,2101.76,39.20,-3.98
98,708.00,3027.19,0.37,-0.32,-0.54,25,0.00,757.39,23.25,-3.42
99,769.46,3030.76,0.39,0.25,0.05,25,0.00,293.57,5.19,-1.79
100,708.00,3037.57,0.93,0.46,0.64,25,0.00,4678.62,55.74,-4.37
101,708.00,3050.14,0.95,0.49,0.86,25,0.00,5270.09,60.70,-4.46
102,1.41,3053.38,0.52,0.62,0.07,25,0.00,95.21,1.11,-0.12
103,708.00,3054.00,0.79,0.12,0.08,25,0.00,3350.40,48.64,-4.22
