id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
1,751.85,1.54,0.21,-0.93,-0.79,25,0.00,79.04,1.03,-0.04
2,2937.69,1.58,0.53,-0.18,-0.73,25,0.00,104.17,1.03,-0.03
3,3053.68,1.53,0.40,0.46,0.22,25,0.00,96.21,1.33,-0.31
4,1551.47,29.80,0.38,-0.41,-0.72,25,0.00,636.45,5.18,-1.79
5,2847.96,68.87,0.38,0.52,0.95,25,0.00,390.71,6.81,-2.08
6,1691.42,85.93,0.44,-0.28,-0.25,25,0.00,158.52,1.05,-0.05
7,3024.45,89.39,0.41,-0.58,-0.66,25,0.00,1811.62,15.72,-2.99
8,1641.66,122.97,0.55,-0.24,-0.51,25,0.00,179.09,1.28,-0.26
9,275.97,150.99,0.41,-0.05,-0.74,25,0.00,1142.55,10.84,-2.59
10,1194.15,227.19,0.46,-0.32,-0.58,25,0.00,213.87,2.86,-1.14
11,1803.73,313.23,0.53,-0.35,-0.73,25,0.00,269.54,1.93,-0.71
12,1495.58,352.80,0.52,-0.52,-0.69,25,0.00,437.37,3.67,-1.41
13,845.98,361.87,0.42,-0.13,-0.68,25,0.00,3227.37,29.46,-3.67
14,329.67,363.93,0.70,0.14,0.75,25,0.00,179.46,1.51,-0.45
15,331.14,395.04,0.53,0.74,-0.59,25,0.00,250.47,2.86,-1.14
16,327.24,395.50,0.97,-0.07,0.15,25,0.00,353.47,3.24,-1.28
17,688.95,398.02,0.52,-0.11,-0.96,25,0.00,262.03,1.86,-0.68
18,2666.41,424.39,0.49,-0.77,-0.76,25,0.00,427.12,3.19,-1.26
19,1079.25,424.43,0.44,-0.18,-0.49,25,0.00,2219.36,20.78,-3.29
20,918.80,525.61,0.71,-0.88,-0.24,25,0.00,227.74,2.27,-0.89
21,37.88,543.00,0.28,-0.32,-0.97,25,0.00,179.88,1.33,-0.31
22,39.44,543.11,0.45,-0.09,-0.98,25,0.00,170.24,1.07,-0.07
23,1672.29,553.11,0.39,-0.27,-0.38,25,0.00,184.06,1.44,-0.40
24,896.83,591.46,0.24,-0.29,-0.74,25,0.00,175.36,1.31,-0.29
25,895.75,591.45,0.64,-0.18,-0.61,25,0.00,226.17,1.48,-0.43
26,2262.71,610.46,0.35,-0.42,-0.79,25,0.00,206.01,1.36,-0.33
27,380.12,719.75,0.45,-0.26,-0.95,25,0.00,746.34,6.02,-1.95
28,2511.42,747.24,0.37,-0.31,-0.59,25,0.00,253.95,2.00,-0.75
29,2510.88,747.55,0.36,-0.57,-0.48,25,0.00,266.86,2.21,-0.86
30,1950.80,862.41,0.40,-0.39,-0.67,25,0.00,154.79,1.08,-0.08
31,1790.35,872.47,0.51,-0.58,-0.59,25,0.00,419.21,3.20,-1.26
32,1780.97,882.38,0.42,-0.54,-0.62,25,0.00,1390.99,12.35,-2.73
33,498.65,905.25,0.60,0.58,-0.11,25,0.00,193.16,2.07,-0.79
34,1035.88,992.87,0.71,-0.02,0.05,25,0.00,149.24,1.35,-0.33
35,1098.49,1019.89,0.53,-0.22,-0.06,25,0.00,172.96,1.96,-0.73
36,222.33,1089.84,0.89,-0.12,-0.11,25,0.00,188.89,1.58,-0.49
37,2189.23,1158.32,0.58,0.91,-0.10,25,0.00,206.90,2.30,-0.90
38,3053.50,1224.94,0.55,0.33,0.67,25,0.00,98.00,1.02,-0.02
39,1913.38,1232.32,0.40,-0.43,-0.48,25,0.00,17313.18,163.70,-5.54
40,1445.94,1259.34,0.45,-0.20,-0.52,25,0.00,199.36,1.52,-0.45
41,2906.93,1284.79,0.47,-0.66,-0.66,25,0.00,262.93,1.94,-0.72
42,2498.66,1285.51,0.31,-0.41,-0.32,25,0.00,185.45,1.35,-0.32
43,1247.68,1288.32,0.47,-0.09,-0.45,25,0.00,895.55,8.51,-2.33
44,1737.97,1294.76,0.45,-0.60,-0.81,25,0.00,164.52,1.00,-0.00
45,1944.93,1339.19,0.79,0.12,0.05,25,0.00,180.54,1.58,-0.50
46,1686.87,1382.58,0.49,-0.42,-0.43,25,0.00,260.15,2.05,-0.78
