HJD,V Band dm
57868.62375,0.23
57868.62473,0.191
57868.6257,0.153
58590.99775,-0.206
58591.00543,-0.09
58591.00652,-0.058
58849.28544,-2.403
58849.28606,-2.405
58849.28667,-2.402
58873.53431,-0.237
58873.53545,-0.257
58873.53659,-0.267
